{value:[74.77,141.14],color:'#F3A43B'},
{value:[100.59,68.34],color:'#F3A43B'},
{value:[78.80,92.46],color:'#F3A43B'},
{value:[82.65,125.40],color:'#F3A43B'},
{value:[75.53,32.23],color:'#F3A43B'},
{value:[96.11,34.01],color:'#F3A43B'},
{value:[87.24,84.35],color:'#F3A43B'},
{value:[96.19,117.27],color:'#F3A43B'},
{value:[80.55,79.83],color:'#F3A43B'},
{value:[106.45,136.64],color:'#F3A43B'},
{value:[78.75,128.32],color:'#F3A43B'},
{value:[97.91,68.42],color:'#F3A43B'},
{value:[87.46,122.16],color:'#F3A43B'},
{value:[108.81,62.23],color:'#F3A43B'},
{value:[107.66,107.32],color:'#F3A43B'},
{value:[74.78,91.33],color:'#F3A43B'},
{value:[108.10,82.26],color:'#F3A43B'},
{value:[101.46,83.48],color:'#F3A43B'},
{value:[92.07,103.53],color:'#F3A43B'},
{value:[109.00,51.93],color:'#F3A43B'},
{value:[103.97,107.09],color:'#F3A43B'},
{value:[82.24,48.77],color:'#F3A43B'},
{value:[88.94,69.66],color:'#F3A43B'},
{value:[104.86,131.78],color:'#F3A43B'},
{value:[86.08,50.67],color:'#F3A43B'},
{value:[80.93,142.14],color:'#F3A43B'},
{value:[79.85,87.45],color:'#F3A43B'},
{value:[101.85,133.75],color:'#F3A43B'},
{value:[79.94,107.79],color:'#F3A43B'},
{value:[80.46,59.59],color:'#F3A43B'},
{value:[105.35,77.02],color:'#F3A43B'},
{value:[80.27,149.03],color:'#F3A43B'},
{value:[90.21,48.68],color:'#F3A43B'},
{value:[92.91,85.60],color:'#F3A43B'},
{value:[104.59,108.87],color:'#F3A43B'},
{value:[70.25,117.56],color:'#F3A43B'},
{value:[84.60,31.39],color:'#F3A43B'},
{value:[96.37,138.83],color:'#F3A43B'},
{value:[109.62,73.00],color:'#F3A43B'},
{value:[95.01,61.87],color:'#F3A43B'},
{value:[78.48,139.39],color:'#F3A43B'},
{value:[106.69,129.02],color:'#F3A43B'},
{value:[82.60,148.32],color:'#F3A43B'},
{value:[107.88,125.65],color:'#F3A43B'},
{value:[73.89,111.69],color:'#F3A43B'},
{value:[100.05,130.60],color:'#F3A43B'},
{value:[107.01,44.83],color:'#F3A43B'},
{value:[104.01,94.62],color:'#F3A43B'},
{value:[100.14,37.88],color:'#F3A43B'},
{value:[102.21,137.99],color:'#F3A43B'},
{value:[76.28,70.48],color:'#F3A43B'},
{value:[79.25,103.82],color:'#F3A43B'},
{value:[76.65,145.47],color:'#F3A43B'},
{value:[81.88,112.19],color:'#F3A43B'},
{value:[93.94,86.34],color:'#F3A43B'},
{value:[79.47,54.04],color:'#F3A43B'},
{value:[106.10,111.08],color:'#F3A43B'},
{value:[96.52,81.48],color:'#F3A43B'},
{value:[77.40,117.55],color:'#F3A43B'},
{value:[84.29,147.86],color:'#F3A43B'},
{value:[100.98,59.79],color:'#F3A43B'},
{value:[97.72,91.71],color:'#F3A43B'},
{value:[76.02,81.32],color:'#F3A43B'},
{value:[107.94,41.85],color:'#F3A43B'},
{value:[73.11,45.32],color:'#F3A43B'},
{value:[107.85,108.99],color:'#F3A43B'},
{value:[106.30,139.43],color:'#F3A43B'},
{value:[99.06,56.49],color:'#F3A43B'},
{value:[92.42,44.37],color:'#F3A43B'},
{value:[80.26,116.66],color:'#F3A43B'},
{value:[79.70,149.61],color:'#F3A43B'},
{value:[90.60,126.96],color:'#F3A43B'},
